ix,time,ms,rss,heapTotal,heapUsed,heapUsedGrowth,external,arrayBuffers
283,570.0814,2.0095999999999776,26755072,8978432,4999816,2825960,1455402,116790
284,572.014,1.9325999999999794,26763264,8978432,5008768,2834912,1455402,116790
285,574.2572,2.2432000000000016,26775552,8978432,5017688,2843832,1455402,116790
286,576.2002,1.9429999999999836,26791936,8978432,5026616,2852760,1455402,116790
287,578.2414,2.0412000000000035,26800128,8978432,5035544,2861688,1455402,116790
288,580.1718,1.9303999999999633,26808320,8978432,5044472,2870616,1455402,116790
289,582.1176,1.9458000000000766,26816512,8978432,5053400,2879544,1455402,116790
290,584.0222,1.9045999999999594,26824704,8978432,5062328,2888472,1455402,116790
291,586.0895,2.0673000000000457,26832896,8978432,5071256,2897400,1455402,116790
292,588.1166,2.027099999999905,26841088,8978432,5080184,2906328,1455402,116790
293,590.263,2.146400000000085,26849280,8978432,5089112,2915256,1455402,116790
294,592.3497,2.0866999999999507,26857472,8978432,5098032,2924176,1455402,116790
295,594.3892,2.0394999999999754,26865664,8978432,5106960,2933104,1455402,116790
296,596.4332,2.0440000000000964,26877952,8978432,5115888,2942032,1455402,116790
297,598.2645,1.831299999999942,26886144,8978432,5124816,2950960,1455402,116790
298,600.1253,1.8608000000000402,26894336,8978432,5133768,2959912,1455402,116790
299,602.1332,2.0078999999999496,26906624,8978432,5142952,2969096,1463594,124982
300,604.0901,1.9569000000000187,26914816,8978432,5151928,2978072,1463594,124982
301,606.1922,2.1020999999999503,26923008,8978432,5160856,2987000,1463594,124982
302,608.0509,1.858699999999999,26931200,8978432,5169784,2995928,1463594,124982
303,610.0014,1.9505000000000337,26939392,8978432,5178672,3004816,1463594,124982
304,612.0433,2.041900000000055,26947584,8978432,5187600,3013744,1463594,124982
305,614.0094,1.966099999999983,26959872,8978432,5196528,3022672,1463594,124982
306,615.9019,1.8924999999999272,26968064,8978432,5205456,3031600,1463594,124982
307,617.8453,1.943399999999997,26976256,8978432,5214408,3040552,1463594,124982
308,619.826,1.9807000000000698,26984448,8978432,5223336,3049480,1463594,124982
309,622.0094,2.183400000000006,26992640,8978432,5232280,3058424,1463594,124982
310,623.7806,1.7712000000000216,27000832,8978432,5241208,3067352,1463594,124982
311,625.5472,1.7665999999999258,27013120,8978432,5250160,3076304,1463594,124982
312,627.32,1.7728000000000748,27021312,8978432,5259112,3085256,1463594,124982
313,629.2104,1.8903999999999996,27029504,8978432,5268032,3094176,1463594,124982
314,631.0974,1.8869999999999436,27041792,8978432,5276960,3103104,1463594,124982
315,632.8479,1.7504999999999882,27049984,8978432,5285888,3112032,1463594,124982
316,634.6461,1.7982000000000653,27058176,8978432,5294840,3120984,1463594,124982
317,636.576,1.929899999999975,27066368,8978432,5303768,3129912,1463594,124982
318,638.4262,1.8501999999999725,27074560,8978432,5312672,3138816,1463594,124982
319,640.3638,1.937599999999975,27082752,8978432,5321600,3147744,1463594,124982
320,642.4368,2.072999999999979,27090944,8978432,5330552,3156696,1463594,124982
